quarter,test_date,n_models_before,n_models,drop_metric,drop_prop,comb_bic,comb_rmse,comb_equal,p10,p25,median,p75,p90,mean,sd,min,max,trimmed_mean,trimmed_low,trimmed_high,trimmed_range,y_true
2023Q2,2023-04-28,92,79,rmse,0.15,3.79487391938456,3.79158667864222,3.78800342469484,3.33799744331975,3.60617580667838,3.76247946370383,3.94975996411498,4.24370617539276,3.78800342469484,0.710965337336361,0.856096540270275,7.4310496794716,3.78841318921561,3.33799744331975,4.24370617539276,0.90570873207301,3.3567849988966
2023Q2,2023-05-05,92,79,rmse,0.15,3.61653152874351,3.62158885897016,3.6285465281706,2.84372262269552,3.34982114287843,3.77190280983059,3.90233888161888,4.29756949161004,3.6285465281706,0.770827931841232,1.05517012370303,6.93162961705905,3.67449080647699,2.84372262269552,4.29756949161004,1.45384686891452,3.3567849988966
2023Q2,2023-05-12,92,79,rmse,0.15,3.68959138871259,3.68881679577157,3.70308241928409,2.962588449569,3.57393157111978,3.76286845246441,3.90595878206759,4.48057376109869,3.70308241928409,0.731492662214603,-0.0817160938633617,5.70888355493817,3.73223389071742,2.962588449569,4.48057376109869,1.51798531152968,3.3567849988966
2023Q2,2023-05-19,92,79,rmse,0.15,3.68959138871259,3.68881679577157,3.70308241928409,2.962588449569,3.57393157111978,3.76286845246441,3.90595878206759,4.48057376109869,3.70308241928409,0.731492662214603,-0.0817160938633617,5.70888355493817,3.73223389071742,2.962588449569,4.48057376109869,1.51798531152968,3.3567849988966
2023Q2,2023-05-26,92,79,rmse,0.15,3.68959138871259,3.68881679577157,3.70308241928409,2.962588449569,3.57393157111978,3.76286845246441,3.90595878206759,4.48057376109869,3.70308241928409,0.731492662214603,-0.0817160938633617,5.70888355493817,3.73223389071742,2.962588449569,4.48057376109869,1.51798531152968,3.3567849988966
2023Q2,2023-06-02,92,79,rmse,0.15,3.97048097102098,3.94234320782837,3.95844894676322,3.34705743320409,3.58466825788802,3.78844721685049,4.09644339625674,4.89190562277888,3.95844894676322,0.774231937745035,1.57666469351198,6.73959898520698,3.88720340952869,3.34705743320409,4.89190562277888,1.54484818957478,3.3567849988966
2023Q2,2023-06-09,92,79,rmse,0.15,3.94100944639347,3.89299708832111,3.90309191004648,3.25647832271488,3.50763143576639,3.78384174573193,4.18443457056357,4.77082567755141,3.90309191004648,0.719376731176548,1.46856023635091,6.32477747245933,3.85852209225531,3.25647832271488,4.77082567755141,1.51434735483652,3.3567849988966
2023Q2,2023-06-16,92,79,rmse,0.15,3.94100944639347,3.89299708832111,3.90309191004648,3.25647832271488,3.50763143576639,3.78384174573193,4.18443457056357,4.77082567755141,3.90309191004648,0.719376731176548,1.46856023635091,6.32477747245933,3.85852209225531,3.25647832271488,4.77082567755141,1.51434735483652,3.3567849988966
2023Q2,2023-06-23,92,79,rmse,0.15,3.94100944639347,3.89299708832111,3.90309191004648,3.25647832271488,3.50763143576639,3.78384174573193,4.18443457056357,4.77082567755141,3.90309191004648,0.719376731176548,1.46856023635091,6.32477747245933,3.85852209225531,3.25647832271488,4.77082567755141,1.51434735483652,3.3567849988966
2023Q2,2023-06-30,92,79,rmse,0.15,3.61080743298399,3.58953133772805,3.5862512664565,2.11158243276941,3.41835377521665,3.78600043078135,4.02173419480024,4.3541942411987,3.5862512664565,1.25211180215131,0.220298409901269,8.17342271067535,3.62058145942555,2.11158243276941,4.3541942411987,2.24261180842929,3.3567849988966
