quarter,test_date,variable,metric_value,included,weight_bic,weight_rmse,y_hat
2023Q2,2023-06-30,DA_IP,2.26966428167053,TRUE,0.0119658688877831,0.01282611356603,3.78600043078135
2023Q2,2023-06-30,DA_IPCA,3.67886079719673,FALSE,,,4.3860853932958
2023Q2,2023-06-30,DA_IPCA_EX0,3.50034126614464,FALSE,,,3.86558083494364
2023Q2,2023-06-30,DA_IPCA_EX1,8.94292557511721,FALSE,,,3.76835680812424
2023Q2,2023-06-30,DA_IPCA_EX2,2.56745357653112,FALSE,,,3.7147979725882
2023Q2,2023-06-30,DA_IPCA_MA,2.64539410814229,FALSE,,,3.70005385148344
2023Q2,2023-06-30,DA_IPCA_MS,3.02758968562548,FALSE,,,6.1992598256748
2023Q2,2023-06-30,DA_IPCDG,2.32511587023914,TRUE,0.0131121325147715,0.0122216298463727,0.220298409901269
2023Q2,2023-06-30,DA_IPCG,2.16971996202588,TRUE,0.0108259969692864,0.0140349528472188,3.80619188450308
2023Q2,2023-06-30,DA_IPCI,2.2855407188336,TRUE,0.0111877871538799,0.0126485400760292,3.7917076918752
2023Q2,2023-06-30,DA_IPCIG,2.38533801805505,TRUE,0.0140041171025912,0.0116123058760875,3.46187157389111
2023Q2,2023-06-30,DA_IPKG,2.4834638287996,TRUE,0.0104854555797085,0.0107127914209917,1.09493732845747
2023Q2,2023-06-30,DA_IPME,2.37789092835217,TRUE,0.0181192000544649,0.011685154717386,4.24333989226436
2023Q2,2023-06-30,DA_IPMI,2.57486853685346,FALSE,,,4.09155782772537
2023Q2,2023-06-30,DA_IPSDG,2.20791137790706,TRUE,0.0110232055459829,0.0135536121007511,3.76577841865219
2023Q2,2023-06-30,DA_IP_US,2.32230477672617,TRUE,0.0127891848275683,0.0122512357261544,3.16684507213847
2023Q2,2023-06-30,DA_ISA_S,2.24846008632154,TRUE,0.0153154295598758,0.0130691686411414,8.15244659964626
2023Q2,2023-06-30,DA_M1,2.45287389722691,TRUE,0.0126753586658781,0.0109816572292603,3.96186403183318
2023Q2,2023-06-30,DA_PIB_monthly,2.14679979826638,TRUE,0.0179767256984446,0.0143362390999659,3.05101754580157
2023Q2,2023-06-30,DA_QSC,2.3309237286743,TRUE,0.0117690391641031,0.0121608015452038,0.653625083102855
2023Q2,2023-06-30,DA_REER_IPCA,2.19234581941035,TRUE,0.00925929225006122,0.0137467554245251,3.67778693127591
2023Q2,2023-06-30,DA_REER_USD,2.19651961158625,TRUE,0.00972333381619391,0.0136945623210819,3.65312398989106
2023Q2,2023-06-30,DA_RETAIL_SALES_US,2.35356301503617,TRUE,0.0147043724929085,0.0119279735026861,3.87820383407374
2023Q2,2023-06-30,DA_RE_Value,2.56722760396512,TRUE,0.0126099314912954,0.0100251199926202,4.86577183987917
2023Q2,2023-06-30,DA_Retail_Sales,2.06715814499444,TRUE,0.0131369738900736,0.0154621869951415,3.67263892159007
2023Q2,2023-06-30,DA_Savings,2.24664630158076,TRUE,0.0139854845807274,0.0130902794206879,4.04638965050309
2023Q2,2023-06-30,DA_Selic,2.3029729465918,TRUE,0.00916169435586276,0.0124577799285457,3.80719201904009
2023Q2,2023-06-30,DA_Steel,2.24422406360782,TRUE,0.0128849112908806,0.0131185518947553,1.10657897521689
2023Q2,2023-06-30,DA_TRUCK_IMP_US,2.22303869715537,TRUE,0.0142615872698658,0.0133697806409615,4.12090337781978
2023Q3,2023-07-07,DA3m_AUTO_SALES_US,2.21259472181962,TRUE,0.00857395406338899,0.0134962956416371,3.62922948572371
2023Q3,2023-07-07,DA3m_BGS,6.38961659250315,FALSE,,,3.74090809580084
2023Q3,2023-07-07,DA3m_CAP_UTILI_US,2.1702632037553,TRUE,0.0106608914614571,0.0140279275077945,4.11740232933349
2023Q3,2023-07-07,DA3m_CONS_CONF_US,2.29050690894116,TRUE,0.00100794833661321,0.0125937513672525,3.5084656784151
2023Q3,2023-07-07,DA3m_CONS_SENTI_US,2.42346174012435,TRUE,0.0125014841897137,0.0112498308254018,3.35571279245749
2023Q3,2023-07-07,DA3m_CPI_US,3.77376654680573,FALSE,,,3.42435996792915
2023Q3,2023-07-07,DA3m_Credit,2.18722726997871,TRUE,0.0103864015783437,0.0138111710254133,3.72149501546555
2023Q3,2023-07-07,DA3m_EMPLOY_NONFARM_US,2.24496451185948,TRUE,0.0147679147203275,0.013109899636012,3.91264515470389
2023Q3,2023-07-07,DA3m_Fx,2.20593800542383,TRUE,0.0093483231759636,0.0135778723368699,4.40488195646372
2023Q3,2023-07-07,DA3m_HOUSING_STARTS_US,2.25208383389059,TRUE,0.0104746334300894,0.0130271442144768,3.39756725115289
2023Q3,2023-07-07,DA3m_HVT,2.31460162360882,TRUE,0.0103118453567847,0.0123329173286069,3.81577888826958
2023Q3,2023-07-07,DA3m_IC_Br,2.34956364876254,TRUE,0.00990667096930771,0.0119686150367047,3.53696015979213
2023Q3,2023-07-07,DA3m_IE_S,2.14700756737741,TRUE,0.017516083591235,0.014333464555921,3.29101510629918
2023Q3,2023-07-07,DA3m_IE_S_alt,2.18561724127571,TRUE,0.0163319545258172,0.0138315264394689,3.03442916840292
2023Q3,2023-07-07,DA3m_INCC_DI,2.16764620684682,TRUE,0.0116690081752163,0.0140618197577431,3.69410633600522
2023Q3,2023-07-07,DA3m_INDF,2.21808237079561,TRUE,0.0173223436702332,0.013429597203208,2.70048867384877
2023Q3,2023-07-07,DA3m_INDFE,2.3031698959614,TRUE,0.0117010043773122,0.0124556494326553,4.73742823065118
2023Q3,2023-07-07,DA3m_IP,2.50820852572211,TRUE,0.0140973193567648,0.0105024602789993,3.40766974992352
2023Q3,2023-07-07,DA3m_IPCA,2.25234880719443,TRUE,0.0145795266157308,0.0130240792874209,3.74791359460258
