"date","series_code","value"
1995-06-01,"AUTO_SALES_US",15.407
1995-07-01,"AUTO_SALES_US",14.7
1995-08-01,"AUTO_SALES_US",15.368
1995-09-01,"AUTO_SALES_US",15.338
1995-10-01,"AUTO_SALES_US",14.861
1995-11-01,"AUTO_SALES_US",15.38
1995-12-01,"AUTO_SALES_US",16.262
1996-01-01,"AUTO_SALES_US",14.812
1996-02-01,"AUTO_SALES_US",15.587
1996-03-01,"AUTO_SALES_US",16.044
1996-04-01,"AUTO_SALES_US",15.466
1996-05-01,"AUTO_SALES_US",15.993
1996-06-01,"AUTO_SALES_US",15.256
1996-07-01,"AUTO_SALES_US",15.074
1996-08-01,"AUTO_SALES_US",15.486
1996-09-01,"AUTO_SALES_US",15.534
1996-10-01,"AUTO_SALES_US",15.308
1996-11-01,"AUTO_SALES_US",15.712
1996-12-01,"AUTO_SALES_US",15.183
1997-01-01,"AUTO_SALES_US",15.682
1997-02-01,"AUTO_SALES_US",15.271
1997-03-01,"AUTO_SALES_US",15.816
1997-04-01,"AUTO_SALES_US",15.058
1997-05-01,"AUTO_SALES_US",15.088
1997-06-01,"AUTO_SALES_US",14.524
1997-07-01,"AUTO_SALES_US",15.568
1997-08-01,"AUTO_SALES_US",16.148
1997-09-01,"AUTO_SALES_US",15.096
1997-10-01,"AUTO_SALES_US",15.431
1997-11-01,"AUTO_SALES_US",15.825
1997-12-01,"AUTO_SALES_US",16.474
1998-01-01,"AUTO_SALES_US",14.789
1998-02-01,"AUTO_SALES_US",15.232
1998-03-01,"AUTO_SALES_US",15.405
1998-04-01,"AUTO_SALES_US",15.923
1998-05-01,"AUTO_SALES_US",17.057
1998-06-01,"AUTO_SALES_US",16.771
1998-07-01,"AUTO_SALES_US",14.668
1998-08-01,"AUTO_SALES_US",14.796
1998-09-01,"AUTO_SALES_US",16.313
1998-10-01,"AUTO_SALES_US",17.131
1998-11-01,"AUTO_SALES_US",16.118
1998-12-01,"AUTO_SALES_US",17.409
1999-01-01,"AUTO_SALES_US",16.593
1999-02-01,"AUTO_SALES_US",17.097
1999-03-01,"AUTO_SALES_US",16.832
1999-04-01,"AUTO_SALES_US",16.929
1999-05-01,"AUTO_SALES_US",17.564
1999-06-01,"AUTO_SALES_US",17.346
1999-07-01,"AUTO_SALES_US",17.688
1999-08-01,"AUTO_SALES_US",17.641
1999-09-01,"AUTO_SALES_US",17.662
1999-10-01,"AUTO_SALES_US",17.684
1999-11-01,"AUTO_SALES_US",17.62
1999-12-01,"AUTO_SALES_US",18.322
2000-01-01,"AUTO_SALES_US",18.635
2000-02-01,"AUTO_SALES_US",19.401
2000-03-01,"AUTO_SALES_US",18.343
2000-04-01,"AUTO_SALES_US",17.939
2000-05-01,"AUTO_SALES_US",17.943
2000-06-01,"AUTO_SALES_US",17.596
2000-07-01,"AUTO_SALES_US",17.316
2000-08-01,"AUTO_SALES_US",17.531
2000-09-01,"AUTO_SALES_US",18.654
2000-10-01,"AUTO_SALES_US",17.514
2000-11-01,"AUTO_SALES_US",16.634
2000-12-01,"AUTO_SALES_US",16.222
2001-01-01,"AUTO_SALES_US",17.652
2001-02-01,"AUTO_SALES_US",17.826
2001-03-01,"AUTO_SALES_US",17.248
2001-04-01,"AUTO_SALES_US",16.872
2001-05-01,"AUTO_SALES_US",16.876
2001-06-01,"AUTO_SALES_US",17.464
2001-07-01,"AUTO_SALES_US",16.463
2001-08-01,"AUTO_SALES_US",16.348
2001-09-01,"AUTO_SALES_US",16.365
2001-10-01,"AUTO_SALES_US",22.055
2001-11-01,"AUTO_SALES_US",18.031
2001-12-01,"AUTO_SALES_US",16.465
2002-01-01,"AUTO_SALES_US",16.523
2002-02-01,"AUTO_SALES_US",17.304
2002-03-01,"AUTO_SALES_US",17.107
2002-04-01,"AUTO_SALES_US",17.668
2002-05-01,"AUTO_SALES_US",16.197
2002-06-01,"AUTO_SALES_US",16.953
2002-07-01,"AUTO_SALES_US",18.147
2002-08-01,"AUTO_SALES_US",18.449
2002-09-01,"AUTO_SALES_US",16.665
2002-10-01,"AUTO_SALES_US",16.259
